month,state,city,killinj,# Injured,Address,r,g,b
4-Nov-17,Nevada,Las Vegas,1,0,S Torrey Pines Dr and Linda Ln,255,40,0
4-Nov-17,Louisiana,New Orleans,1,0,4900 block of LaFaye Street,255,40,0
4-Nov-17,Colorado,Colorado Springs,0,1,32 S Tejon St,255,40,0
4-Nov-17,Pennsylvania,Philadelphia,0,1,1500 block of S Etting St,255,40,0
4-Nov-17,Arizona,Phoenix,1,0,28th Ave and Cactus Rd,255,40,0
4-Nov-17,Massachusetts,Lowell,0,1,John St and Lee St,255,40,0
4-Nov-17,Massachusetts,Boston,0,0,33 Kingsdale St,255,40,0
4-Nov-17,Massachusetts,Brockton,0,0,82 Lowell St,255,40,0
3-Nov-17,Virginia,Newport News,1,0,Skiffes Creek Cir,255,40,0
3-Nov-17,Texas,San Antonio,1,0,Barclay St and Colima St,255,40,0
3-Nov-17,New Jersey,Somers Point,0,0,50 Somers Points Mays Landings Rd,255,40,0
3-Nov-17,Colorado,Colorado Springs,0,1,4165 Lacy Ln,255,40,0
3-Nov-17,Massachusetts,Plymouth,0,0,710 State Rd,255,40,0
3-Nov-17,Kansas,Topeka,0,1,SE 4th St and SE Lime St,255,40,0
3-Nov-17,Washington,Auburn,1,0,37600 block of 44th Ave S,255,40,0
3-Nov-17,New Mexico,Rio Rancho,1,0,1704 NM Hwy 528 NW,255,40,0
3-Nov-17,New York,Utica,0,0,Elm St,255,40,0
3-Nov-17,Florida,Mayo,0,1,1368 SE CR 420,255,40,0
3-Nov-17,Arkansas,Batesville,1,1,Neeley Street,255,40,0
3-Nov-17,Michigan,Lansing,0,1,100 block of Mason Street,255,40,0
3-Nov-17,Florida,Jacksonville,0,1,13000 block of Blue Eagle Way,255,40,0
3-Nov-17,Michigan,Mattawan,0,1,Main St and W McGillen Ave,255,40,0
3-Nov-17,Oregon,Jackson (county),0,0,N/A,255,40,0
3-Nov-17,Kentucky,Paducah (Lone Oak),0,1,211 N Concord Ave,255,40,0
3-Nov-17,Maryland,Baltimore,0,1,1900 block of Hollins St,255,40,0
3-Nov-17,Illinois,Chicago,0,1,1300 S Spaulding Ave,255,40,0
3-Nov-17,Montana,Helena,0,0,10 block of S Ewing,255,40,0
3-Nov-17,New York,Buffalo,1,0,140 Allen St,255,40,0
3-Nov-17,Illinois,Chicago,0,1,S Wentworth Ave and W 63rd St,255,40,0
3-Nov-17,Minnesota,Minneapolis,0,4,10th Ave S and E 24th St,255,40,0
3-Nov-17,Pennsylvania,Uniontown,1,0,1 Pershing Ave,255,40,0
3-Nov-17,Kentucky,Lexington,0,0,3751 Appian Way,255,40,0
3-Nov-17,California,Suisun City,1,0,1200 block of Anderson Dr,255,40,0
3-Nov-17,Missouri,Saint Elizabeth,0,0,W Main St and Hwy 179,255,40,0
3-Nov-17,Michigan,Lansing,0,1,626 Marshall St,255,40,0
3-Nov-17,New Jersey,Brick,0,0,Lake Shore Way,255,40,0
3-Nov-17,California,Baldwin Park,1,0,3100 block of Frazier St,255,40,0
3-Nov-17,California,Gardena,0,4,E 163rd St and S Main St,255,40,0
3-Nov-17,Texas,Austin,0,1,Jonathan Dr and E Highland Mall Blvd,255,40,0
3-Nov-17,Ohio,Columbus,0,1,1600 block of Walsh Ave,255,40,0
3-Nov-17,Pennsylvania,Belle Vernon,0,0,117 Irons St,255,40,0
3-Nov-17,Iowa,Mason City,0,0,500 block of N Madison Ave,255,40,0
3-Nov-17,New York,Bronx,1,0,Bronx Blvd and E 224th St,255,40,0
3-Nov-17,Kansas,Kansas City,1,0,234 N 78th St,255,40,0
3-Nov-17,Michigan,Jackson,1,0,300 Block of Moorman Dr,255,40,0
3-Nov-17,Missouri,Saint Louis,0,3,9800 Halls Ferry Rd,255,40,0
3-Nov-17,Pennsylvania,Philadelphia,0,1,21st St and Passyunk Ave,255,40,0
3-Nov-17,Pennsylvania,Chester,0,1,900 block of Lamokin St,255,40,0
3-Nov-17,Georgia,Columbus,0,1,Farr Rd and Wandering Lane,255,40,0
3-Nov-17,Massachusetts,Worcester,0,0,647 Chandler St,255,40,0
3-Nov-17,Massachusetts,Worcester,0,0,7 Neponset St,255,40,0
3-Nov-17,New Jersey,Morristown,0,0,Jersey Ave,255,40,0
3-Nov-17,Georgia,Atlanta,0,0,Chamblee Tucker Rd,255,40,0
3-Nov-17,Georgia,Atlanta,0,1,5600 N Henry Blvd,255,40,0
3-Nov-17,North Carolina,Supply,0,0,Blackbeard Rd,255,40,0
3-Nov-17,Tennessee,Camden,1,0,Jayson St,255,40,0
3-Nov-17,Tennessee,Nashville,0,2,100 block of Haynes Park Ct,255,40,0
3-Nov-17,California,Oakland,0,1,4200 block of MacArthur Blvd,255,40,0
3-Nov-17,North Carolina,Reidsville,0,0,100 Block of Arlington St,255,40,0
3-Nov-17,North Carolina,Harrisburg,0,0,N/A,255,40,0
3-Nov-17,Louisiana,Kinder,1,0,6th Avenue,255,40,0
3-Nov-17,Louisiana,Bossier City,0,0,1300 block of Hamilton Circle,255,40,0
3-Nov-17,North Carolina,Charlotte,0,0,Cranbrook Ln,255,40,0
3-Nov-17,Indiana,Fort Wayne,0,0,8215 N River Rd,255,40,0
3-Nov-17,Louisiana,Baton Rouge,0,1,2100 Block of Capri Dr,255,40,0
3-Nov-17,Virginia,Portsmouth,0,1,50 block of Swanson Pkwy,255,40,0
3-Nov-17,Maryland,Baltimore,0,0,201 Key Hwy,255,40,0
3-Nov-17,Georgia,Braselton,0,1,GA 211 and Friendship Rd,255,40,0
3-Nov-17,Tennessee,Nashville,0,1,222 Thompson Ln,255,40,0
3-Nov-17,Tennessee,Memphis,0,1,Hamilton St and Park Ave,255,40,0
3-Nov-17,Arkansas,Cabot,0,0,Gun Club Road,255,40,0
3-Nov-17,Mississippi,Hattiesburg,0,1,MS 42 Bypass,255,40,0
3-Nov-17,New York,Buffalo,0,1,10 Wood Ave,255,40,0
3-Nov-17,North Carolina,Charlotte,0,0,Arden St,255,40,0
3-Nov-17,New York,Rochester,0,0,Clinton Ave and Rauber St,255,40,0
3-Nov-17,New York,Rochester,0,0,100 block of 6th St,255,40,0
3-Nov-17,New York,Buffalo,0,4,147 Roosevelt Ave,255,40,0
3-Nov-17,South Carolina,York,1,0,700 Block of Will Jones Cir,255,40,0
3-Nov-17,North Carolina,Charlotte,0,1,1300 Block of Waterlily Ln,255,40,0
3-Nov-17,North Carolina,Salisbury,1,0,510 E Innes St,255,40,0
3-Nov-17,California,San Bernardino,0,2,3500 block of 21st St,255,40,0
3-Nov-17,New York,Buffalo,0,1,100 block of Walden Ave,255,40,0
3-Nov-17,South Carolina,North Charleston,1,0,5500 Block of Betty Ct,255,40,0
3-Nov-17,California,Ceres,1,0,3400 block of McGee Rd,255,40,0
3-Nov-17,North Carolina,Supply,1,0,2800 Block of Paddlewheel Trail,255,40,0
3-Nov-17,Alabama,Piedmont (Borden Springs),0,1,CR 49 and CR 92,255,40,0
3-Nov-17,Alabama,Ohatchee,1,0,Boiling Springs Rd,255,40,0
3-Nov-17,Kentucky,Manchester,0,0,415 Clay County High Rd,255,40,0
3-Nov-17,Alabama,Birmingham,1,0,421 Oporto Madrid Blvd,255,40,0
3-Nov-17,Alabama,Huntsville,0,1,Glacier St,255,40,0
3-Nov-17,Kentucky,Keavy,0,1,Locust Grove Road,255,40,0
3-Nov-17,Illinois,Chicago,0,1,7400 S Halsted St,255,40,0
3-Nov-17,Florida,Vero Beach,0,0,4355 27th Ave,255,40,0
3-Nov-17,Illinois,Chicago,0,1,6200 S Union Ave,255,40,0
3-Nov-17,Illinois,Chicago,0,1,5400 W Madison St,255,40,0
3-Nov-17,Florida,West Palm Beach,0,1,Division Ave and 6th St,255,40,0
3-Nov-17,Maryland,Essex,0,0,1500 block of Williams Ave,255,40,0
3-Nov-17,Maryland,Hagerstown,0,1,901 Dual Hwy,255,40,0
3-Nov-17,Mississippi,Macon,1,0,Jefferson Street,255,40,0
3-Nov-17,Mississippi,Laurel,1,0,Holly Dr,255,40,0
3-Nov-17,New Jersey,Sicklerville,0,0,100 block of Vanderbilt Ct,255,40,0
3-Nov-17,Delaware,Newark,0,0,N/A,255,40,0
3-Nov-17,Florida,Jacksonville,1,1,1300 Block of 6th St,255,40,0
3-Nov-17,Florida,Miami,0,1,NW 49th St and 19th Ave,255,40,0
3-Nov-17,Florida,Orlando,0,1,2001 Rivertree Cir,255,40,0
3-Nov-17,Maryland,Baltimore,0,0,2300 block of E Monument St,255,40,0
3-Nov-17,Florida,Port Orange,1,0,4801 S Clyde Morris Blvd,255,40,0
3-Nov-17,Florida,Tallahassee,1,0,1112 S Magnolia Dr,255,40,0
3-Nov-17,District of Columbia,Washington,0,3,43 K Street NW,255,40,0
3-Nov-17,Missouri,Kansas City,1,0,6th and Cleveland,255,40,0
3-Nov-17,Missouri,Kansas City,1,0,N 78th St and I-70,255,40,0
3-Nov-17,New York,New York (Manhattan),1,0,Ave D and E 8th St,255,40,0
3-Nov-17,Maryland,Montgomery County (county),0,0,I-270 near Shady Grove Rd,255,40,0
3-Nov-17,New York,Big Flats,1,0,Reasor Hollow Rd,255,40,0
3-Nov-17,Texas,Dallas,1,0,10100 block of Juan Dr,255,40,0
3-Nov-17,Nebraska,Omaha,0,0,N 28th St and Reynolds St,255,40,0
3-Nov-17,Texas,Houston,0,1,Nagle St and Alabama St S,255,40,0
3-Nov-17,Texas,Lufkin,1,0,1401 Kurth Dr,255,40,0
3-Nov-17,Utah,Layton,1,0,I-15 and Layton Pkwy,255,40,0
3-Nov-17,Louisiana,Lacombe,1,4,27600 block of Mirmar Street,255,40,0
3-Nov-17,Nevada,Henderson,0,0,200 block of Bismark Way,255,40,0
3-Nov-17,Louisiana,Kinder,1,0,13918 US-165,255,40,0
3-Nov-17,Massachusetts,Leominster,0,0,N/A,255,40,0
3-Nov-17,Massachusetts,Boston,0,0,Ruthven St,255,40,0
3-Nov-17,Arizona,Phoenix,1,0,Indian School Rd and 15th Ave,255,40,0
3-Nov-17,Texas,Austin,0,1,6000 block of Airport Blvd,255,40,0
3-Nov-17,Kansas,Lawrence,0,0,N/A,255,40,0
