Incident Date,State,City Or County,Address,# Killed,# Injured,KilledInj
1-Nov-17,District of Columbia,Washington,1200 block of H Street NE,0,2,2
1-Nov-17,Wisconsin,Milwaukee,1400 block of W Euclid,0,1,1
1-Nov-17,California,Chico,1200 block of W Sacramento Ave,0,1,1
1-Nov-17,Wisconsin,Milwaukee,2400 block of W Hopkins,0,1,1
1-Nov-17,Wisconsin,Milwaukee,N 10th and W Keefe,0,1,1
1-Nov-17,Wisconsin,Milwaukee,2900 block of N 5th St,1,0,1
1-Nov-17,California,Marysville (Loma Rica),5400 block of Northridge Way,0,0,0
1-Nov-17,Wisconsin,Eau Claire,3600 block of Seymour Rd,0,0,0
1-Nov-17,Indiana,Indianapolis,3215 N Alton Ave,0,0,0
1-Nov-17,Florida,Miami,1300 block of NW 98th Terrace,0,1,1
1-Nov-17,Arizona,Tucson,3156 E Grant Rd,0,0,0
1-Nov-17,Colorado,Thornton,9901 Grant St,3,0,3
1-Nov-17,Florida,Plant City,202 W Baker St,0,1,1
1-Nov-17,California,Merced,1900 block of Center Ave,0,0,0
1-Nov-17,Florida,Land O Lakes (Land O' Lakes),3817 Redwood Dr,0,1,1
1-Nov-17,California,San Francisco,Market and Turk,0,1,1
1-Nov-17,California,Oakland,2400 block of Filbert St,0,1,1
1-Nov-17,California,Corning,600 block of Marguerite Ave,0,0,0
1-Nov-17,California,Chico,700 block of Normal Ave,0,1,1
1-Nov-17,California,Fairfield,Maryland St,0,1,1
1-Nov-17,Michigan,Detroit,John C Lodge Srv Rd and 8 Mile Service Rd,1,0,1
1-Nov-17,Michigan,Three Rivers,Liberty St and Michigan St,0,0,0
1-Nov-17,Florida,Fort Myers,N/A,0,0,0
1-Nov-17,Kansas,Kansas City,Eaton St,0,1,1
1-Nov-17,North Carolina,Salisbury,200 block of N Martin Luther King Jr Avenue,0,1,1
1-Nov-17,Illinois,Chicago,2700 block of E 80th St,1,0,1
1-Nov-17,Florida,Fort Lauderdale (Davie),4610 S University Dr,1,0,1
1-Nov-17,Georgia,Decatur,500 block of Creste Drive,1,0,1
1-Nov-17,Tennessee,Nashville,I-24 and Briley Pkwy,1,1,2
1-Nov-17,Alabama,Madison,1000 block of Old Railroad Bed Road,0,1,1
1-Nov-17,Mississippi,Columbus,Poplar St,0,0,0
1-Nov-17,Alabama,Birmingham,2900 block of Avenue Z,1,0,1
1-Nov-17,Alabama,Mobile,Olive Court,1,1,2
1-Nov-17,Nevada,Las Vegas,6650 Grand Montecito Pkwy,2,0,2
1-Nov-17,South Carolina,North Charleston,Accabee Rd and Garfield St,0,0,0
1-Nov-17,Louisiana,Shreveport,Interstate 20,0,2,2
1-Nov-17,Florida,Miami Beach,1199 NE 163rd St,1,0,1
1-Nov-17,Ohio,Youngstown,962 Martin Luther King Blvd,0,0,0
1-Nov-17,Louisiana,Baton Rouge,Poinsettia Street,0,1,1
1-Nov-17,Illinois,Chicago,400 E 133rd St,0,1,1
1-Nov-17,Illinois,Chicago,4200 S Kedzie Ave,0,1,1
1-Nov-17,Illinois,Chicago,4600 N Greenview Ave,0,2,2
1-Nov-17,Florida,Orlando,800 block of Jackson St,0,1,1
1-Nov-17,Pennsylvania,York,600 block of E Philadelphia St,0,1,1
1-Nov-17,Alabama,Birmingham,15th Street and Avenue S,1,0,1
1-Nov-17,Alabama,Birmingham (Vestavia Hills),1000 block of Montgomery Highway,1,0,1
1-Nov-17,Alabama,Birmingham,4100 block of 8th Avenue,1,0,1
1-Nov-17,Florida,Fort Myers,3685 Fowler St,0,1,1
1-Nov-17,Florida,Titusville,Parrish Rd,0,1,1
1-Nov-17,Nebraska,Omaha,28th Street and Hamilton Street,0,1,1
1-Nov-17,Texas,Killeen,1300 block of N 8th St,0,1,1
1-Nov-17,Ohio,Cincinnati,Winfield Ave,0,1,1
1-Nov-17,Nebraska,Omaha,North 37th Street and Blondo Street,0,0,0
1-Nov-17,Ohio,Canton,Rt 172 and Dewalt Ave,0,0,0
1-Nov-17,New York,Brooklyn,405 Williams Ave,1,0,1
1-Nov-17,New York,New York (Manhattan),Cooper Square,1,1,2
1-Nov-17,New Jersey,Southampton,Red Lion Rd,0,0,0
1-Nov-17,New Jersey,Trenton,800 block of Stuyvesant Ave,0,1,1
1-Nov-17,New Jersey,Trenton,500 block of Hoffman Ave,0,2,2
1-Nov-17,Arizona,Tucson,1000 block of W Colorado St,1,0,1
1-Nov-17,Massachusetts,Springfield,N/A,0,0,0
1-Nov-17,Massachusetts,Boston,142 Gove St,0,0,0
1-Nov-17,Massachusetts,Boston,2363 Washington St,0,0,0
1-Nov-17,Massachusetts,Boston,30 Homes Ave,0,0,0
1-Nov-17,Georgia,Savannah,300 Block of W 45th St,1,0,1
1-Nov-17,Massachusetts,Boston,Centre St,0,0,0
1-Nov-17,Massachusetts,Boston,42 Horan Way,0,0,0
1-Nov-17,Pennsylvania,Pittston (Exeter),1946 Wyoming Ave,0,1,1
1-Nov-17,Texas,Houston,10616 Meadowglen Ln,0,1,1
1-Nov-17,Pennsylvania,Pittsburgh (Wilkinsburg),700 block of Mifflin Ave,0,0,0
1-Nov-17,Pennsylvania,Philadelphia,Monmouth St and Gaul St,1,0,1
1-Nov-17,Pennsylvania,Philadelphia,100 block of Cambria Hill Rd,0,1,1
1-Nov-17,Pennsylvania,Pittsburgh,100 block of Rochelle St,1,0,1
1-Nov-17,Pennsylvania,Harrisburg,2000 block of 4th St,0,1,1
1-Nov-17,North Carolina,Monroe,Walters Division Rd,0,1,1
1-Nov-17,Pennsylvania,York,E Philadelphia St and Queen St,0,0,0
1-Nov-17,Texas,Longview,2301 Thirteenth St,1,1,2
